Date,Rust,TeX,Python,Typst,TypeScript,Svelte,Astro,Dockerfile,JavaScript,HTML,CSS,Just,SCSS,Makefile,Shell,MDX,Dart
15/03/2024,20.2,38.8,19.9,0.0,3.7,0.0,2.6,0.5,7.8,0.7,0.2,0.4,1.0,0.4,0.2,2.0,0.0
24/03/2024,20.1,39.0,19.9,0.0,3.7,0.0,2.6,0.5,7.8,0.7,0.2,0.4,1.0,0.4,0.1,2.0,0.0
07/04/2024,20.0,39.3,19.8,0.0,3.7,0.0,2.6,0.5,7.8,0.7,0.1,0.4,1.0,0.4,0.1,2.0,0.0
14/04/2024,18.8,42.8,18.6,0.0,3.5,0.0,2.5,0.5,7.3,0.7,0.1,0.4,1.0,0.3,0.1,1.9,0.0
21/04/2024,17.5,46.9,17.3,0.0,3.2,0.0,2.3,0.4,6.8,0.6,0.1,0.3,1.0,0.3,0.1,1.8,0.0
28/04/2024,16.6,50.1,17.1,0.0,3.1,0.0,2.2,0.4,5.3,0.6,0.1,0.3,0.9,0.3,0.1,1.7,0.0
05/05/2024,16.5,50.3,17.0,0.0,3.1,0.0,2.2,0.4,5.2,0.6,0.1,0.3,0.9,0.3,0.1,1.7,0.0
12/05/2024,16.4,50.0,17.5,0.0,3.0,0.0,2.1,0.4,5.2,0.6,0.1,0.3,0.9,0.3,0.1,1.7,0.0
19/05/2024,16.8,50.3,17.5,0.0,2.9,0.0,3.3,0.4,5.0,0.5,0.1,0.3,0.9,0.3,0.1,1.7,0.0
26/05/2024,15.4,51.9,18.1,0.0,1.7,0.0,3.6,0.4,5.2,0.5,0.1,0.3,0.9,0.3,0.1,1.7,0.0
02/06/2024,15.9,51.2,17.9,0.0,2.3,0.0,3.3,0.4,5.1,0.5,0.1,0.3,0.9,0.3,0.1,1.7,0.0
09/06/2024,16.4,50.7,17.7,0.0,2.6,0.0,3.3,0.4,5.1,0.5,0.1,0.3,0.9,0.3,0.1,1.7,0.0
16/06/2024,17.5,49.9,17.4,0.0,2.7,0.0,3.3,0.3,5.0,0.5,0.1,0.3,0.9,0.3,0.1,1.6,0.0
23/06/2024,18.2,51.9,20.1,0.0,3.6,0.0,2.2,0.4,0.3,0.5,0.2,0.3,0.3,0.3,0.1,1.7,0.0
07/07/2024,17.9,51.1,19.9,0.0,3.5,0.0,2.6,0.4,0.4,0.5,0.2,0.3,0.3,0.3,0.1,1.7,0.0
14/07/2024,17.2,49.0,19.1,0.0,5.1,0.0,4.5,0.5,0.5,0.5,0.2,0.3,0.3,0.3,0.1,1.6,0.0
21/07/2024,18.1,48.4,18.8,0.0,5.3,0.0,4.5,0.3,0.6,0.5,0.2,0.3,0.3,0.3,0.1,1.6,0.0
29/07/2024,20.4,46.4,18.0,0.0,6.1,0.0,4.3,0.3,0.6,0.5,0.2,0.2,0.3,0.3,0.1,1.5,0.0
05/08/2024,20.3,46.2,17.9,0.0,6.5,0.0,4.3,0.3,0.6,0.5,0.2,0.2,0.3,0.3,0.1,1.5,0.0
12/08/2024,21.3,45.5,17.7,0.0,6.4,0.0,4.2,0.5,0.6,0.5,0.2,0.2,0.3,0.3,0.1,1.5,0.0
19/08/2024,21.2,45.3,17.6,0.0,6.6,0.0,4.2,0.5,0.6,0.5,0.2,0.2,0.4,0.3,0.1,1.5,0.0
26/08/2024,21.4,45.2,17.6,0.0,6.5,0.0,4.5,0.5,0.6,0.4,0.2,0.2,0.3,0.3,0.1,1.5,0.0
02/09/2024,20.9,44.3,19.2,0.0,6.4,0.0,4.4,0.5,0.6,0.4,0.2,0.2,0.3,0.3,0.1,1.5,0.0
09/09/2024,21.1,44.2,19.2,0.0,6.4,0.0,4.4,0.4,0.6,0.4,0.2,0.2,0.3,0.3,0.1,1.5,0.0
16/09/2024,21.0,44.1,19.2,0.0,6.4,0.0,4.5,0.4,0.6,0.4,0.2,0.2,0.3,0.3,0.1,1.5,0.0
23/09/2024,22.0,44.0,19.3,0.0,6.2,0.0,4.5,0.4,0.6,0.4,0.2,0.2,0.3,0.3,0.1,1.5,0.0
30/09/2024,21.9,44.0,20.3,0.0,5.2,0.0,4.6,0.4,0.7,0.4,0.1,0.2,0.3,0.3,0.1,1.4,0.0
07/10/2024,22.1,42.9,20.4,0.0,6.3,0.0,4.5,0.4,0.7,0.4,0.1,0.2,0.3,0.2,0.1,1.4,0.0
14/10/2024,22.3,42.8,20.3,0.0,6.3,0.0,4.5,0.4,0.7,0.4,0.1,0.2,0.3,0.2,0.1,1.4,0.0
21/10/2024,22.0,42.6,20.2,0.0,6.9,0.0,4.4,0.4,0.6,0.4,0.1,0.2,0.3,0.2,0.1,1.4,0.0
28/10/2024,23.0,42.9,20.4,0.0,5.0,0.0,4.4,0.4,0.6,0.4,0.6,0.2,0.3,0.2,0.1,1.4,0.0
03/11/2024,21.7,43.0,20.4,0.0,6.1,0.0,4.4,0.4,0.6,0.5,0.1,0.2,0.8,0.2,0.1,1.4,0.0
10/11/2024,21.6,42.8,20.3,0.0,6.5,0.0,4.4,0.4,0.6,0.5,0.1,0.2,0.9,0.2,0.1,1.4,0.0
23/11/2024,17.5,44.4,21.0,0.0,5.2,0.0,4.5,0.5,0.6,0.4,0.1,0.3,0.3,0.3,0.1,1.5,3.4
30/11/2024,15.8,43.5,20.6,0.0,5.1,0.0,4.5,0.6,0.6,0.4,0.1,0.2,0.3,0.3,0.1,1.4,6.5
21/12/2024,16.5,45.5,21.5,0.0,7.6,0.0,4.7,0.6,0.6,0.4,0.1,0.2,0.3,0.3,0.1,1.5,0.0
28/12/2024,16.1,44.5,21.1,0.0,8.6,0.0,4.6,0.6,0.6,0.4,0.1,0.2,0.3,0.3,0.1,1.5,1.1
04/01/2025,16.2,44.7,21.2,0.0,9.1,0.0,4.6,0.6,0.6,0.4,0.1,0.2,0.3,0.3,0.1,1.5,0.0
11/01/2025,16.1,44.5,21.1,0.0,9.5,0.0,4.6,0.6,0.7,0.4,0.1,0.2,0.3,0.3,0.1,1.5,0.0
18/01/2025,16.0,44.1,20.9,0.0,10.2,0.0,4.5,0.6,0.7,0.4,0.1,0.2,0.3,0.3,0.1,1.5,0.0
25/01/2025,15.9,43.7,20.7,0.0,11.1,0.0,4.5,0.6,0.7,0.4,0.1,0.2,0.3,0.3,0.1,1.4,0.0
01/02/2025,15.8,43.5,20.6,0.0,11.4,3.5,2.6,0.6,0.6,0.5,0.2,0.3,0.3,0.2,0.1,0.0,0.0
15/02/2025,20.0,42.9,20.3,0.0,6.4,4.4,2.6,1.1,0.5,0.5,0.4,0.3,0.3,0.2,0.2,0.0,0.0
22/02/2025,20.1,41.9,19.9,0.0,6.9,5.1,2.5,1.2,0.7,0.5,0.4,0.3,0.3,0.2,0.2,0.0,0.0
01/03/2025,20.3,41.7,19.8,0.0,6.8,5.1,2.5,1.2,0.7,0.5,0.4,0.3,0.3,0.2,0.2,0.0,0.0
22/03/2025,20.5,41.7,19.8,0.0,6.1,5.6,2.5,1.2,0.7,0.5,0.4,0.3,0.3,0.2,0.2,0.0,0.0
05/04/2025,20.4,41.5,19.7,0.0,5.9,6.0,2.5,1.2,0.7,0.6,0.6,0.3,0.3,0.2,0.2,0.0,0.0
12/04/2025,21.9,42.5,20.2,0.0,4.9,4.0,2.6,1.2,0.7,0.5,0.5,0.3,0.3,0.2,0.2,0.0,0.0
19/04/2025,22.6,42.1,20.0,0.0,4.8,4.0,2.5,1.2,0.7,0.5,0.5,0.3,0.3,0.2,0.2,0.0,0.0
26/04/2025,23.2,41.8,19.8,0.0,4.8,3.9,2.5,1.2,0.7,0.5,0.5,0.4,0.3,0.2,0.1,0.0,0.0
10/05/2025,23.2,41.9,19.9,0.0,4.8,3.9,2.5,1.2,0.6,0.5,0.5,0.4,0.3,0.2,0.1,0.0,0.0
07/06/2025,24.0,41.4,19.6,0.0,4.7,3.9,2.5,1.2,0.6,0.5,0.5,0.4,0.3,0.2,0.1,0.0,0.0
14/06/2025,24.3,41.3,19.6,0.0,4.7,3.9,2.5,1.2,0.6,0.5,0.5,0.4,0.3,0.2,0.1,0.0,0.0
12/07/2025,25.3,40.7,19.3,0.0,4.7,3.8,2.4,1.2,0.6,0.5,0.5,0.4,0.3,0.2,0.1,0.0,0.0
19/07/2025,27.3,39.5,18.8,0.0,4.5,3.7,2.4,1.3,0.6,0.5,0.5,0.4,0.3,0.2,0.1,0.0,0.0
26/07/2025,28.4,38.9,18.5,0.0,4.5,3.7,2.3,1.2,0.6,0.5,0.5,0.4,0.3,0.2,0.1,0.0,0.0
16/08/2025,29.2,38.5,18.2,0.0,4.4,3.6,2.3,1.2,0.6,0.5,0.5,0.4,0.2,0.2,0.1,0.0,0.0
23/08/2025,31.0,37.5,17.8,0.0,4.3,3.5,2.2,1.2,0.6,0.5,0.5,0.4,0.2,0.2,0.1,0.0,0.0
